session,outer_fold,outer_train_cycle_ids,outer_test_cycle_ids,outer_train_cycle_count,outer_test_cycle_count,inner_fold_count,full_per_seed_inner_trainings,full_per_seed_inner_trainings_all_3_seeds,full_per_seed_outer_refits_all_3_seeds,full_per_seed_total_trainings_all_3_seeds,shared_selector_seed_inner_trainings,shared_selector_seed_outer_refits_all_3_seeds,shared_selector_seed_total_trainings,existing_candidate_outer_tasks_available,existing_outer_tasks_reusable_after_selection
807,5,"0,1,2,3,4,5,7,8,9,10,11",6,11,1,10,20,60,3,63,20,3,23,6,3
807,6,"0,1,2,3,4,5,6,8,9,10,11",7,11,1,10,20,60,3,63,20,3,23,6,3
807,7,"0,1,2,3,4,5,6,7,9,10,11",8,11,1,10,20,60,3,63,20,3,23,6,3
807,8,"0,1,2,3,4,5,6,7,8,10,11",9,11,1,10,20,60,3,63,20,3,23,6,3
807,9,"0,1,2,3,4,5,6,7,8,9,11",10,11,1,10,20,60,3,63,20,3,23,6,3
807,10,"0,1,2,3,4,5,6,7,8,9,10",11,11,1,10,20,60,3,63,20,3,23,6,3
813,1,"1,2,3,4,5,6,7,8,9",0,9,1,9,18,54,3,57,18,3,21,6,3
813,2,"0,2,3,4,5,6,7,8,9",1,9,1,9,18,54,3,57,18,3,21,6,3
813,3,"0,1,3,4,5,6,7,8,9",2,9,1,9,18,54,3,57,18,3,21,6,3
813,4,"0,1,2,4,5,6,7,8,9",3,9,1,9,18,54,3,57,18,3,21,6,3
813,5,"0,1,2,3,5,6,7,8,9",4,9,1,9,18,54,3,57,18,3,21,6,3
813,6,"0,1,2,3,4,6,7,8,9",5,9,1,9,18,54,3,57,18,3,21,6,3
813,7,"0,1,2,3,4,5,7,8,9",6,9,1,9,18,54,3,57,18,3,21,6,3
813,8,"0,1,2,3,4,5,6,8,9",7,9,1,9,18,54,3,57,18,3,21,6,3
813,9,"0,1,2,3,4,5,6,7,9",8,9,1,9,18,54,3,57,18,3,21,6,3
813,10,"0,1,2,3,4,5,6,7,8",9,9,1,9,18,54,3,57,18,3,21,6,3
817,1,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19","0,1",18,2,10,20,60,3,63,20,3,23,6,3
817,2,"0,1,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19","2,3",18,2,10,20,60,3,63,20,3,23,6,3
817,3,"0,1,2,3,6,7,8,9,10,11,12,13,14,15,16,17,18,19","4,5",18,2,10,20,60,3,63,20,3,23,6,3
817,4,"0,1,2,3,4,5,8,9,10,11,12,13,14,15,16,17,18,19","6,7",18,2,10,20,60,3,63,20,3,23,6,3
817,5,"0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19","8,9",18,2,10,20,60,3,63,20,3,23,6,3
817,6,"0,1,2,3,4,5,6,7,8,9,12,13,14,15,16,17,18,19","10,11",18,2,10,20,60,3,63,20,3,23,6,3
817,7,"0,1,2,3,4,5,6,7,8,9,10,11,14,15,16,17,18,19","12,13",18,2,10,20,60,3,63,20,3,23,6,3
817,8,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,16,17,18,19","14,15",18,2,10,20,60,3,63,20,3,23,6,3
817,9,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,18,19","16,17",18,2,10,20,60,3,63,20,3,23,6,3
817,10,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17","18,19",18,2,10,20,60,3,63,20,3,23,6,3
822,1,"1,2,3,4,5,6,7,8,9",0,9,1,9,18,54,3,57,18,3,21,6,3
822,2,"0,2,3,4,5,6,7,8,9",1,9,1,9,18,54,3,57,18,3,21,6,3
822,3,"0,1,3,4,5,6,7,8,9",2,9,1,9,18,54,3,57,18,3,21,6,3
822,4,"0,1,2,4,5,6,7,8,9",3,9,1,9,18,54,3,57,18,3,21,6,3
822,5,"0,1,2,3,5,6,7,8,9",4,9,1,9,18,54,3,57,18,3,21,6,3
822,6,"0,1,2,3,4,6,7,8,9",5,9,1,9,18,54,3,57,18,3,21,6,3
822,7,"0,1,2,3,4,5,7,8,9",6,9,1,9,18,54,3,57,18,3,21,6,3
822,8,"0,1,2,3,4,5,6,8,9",7,9,1,9,18,54,3,57,18,3,21,6,3
822,9,"0,1,2,3,4,5,6,7,9",8,9,1,9,18,54,3,57,18,3,21,6,3
822,10,"0,1,2,3,4,5,6,7,8",9,9,1,9,18,54,3,57,18,3,21,6,3
